Department,Semester,Course Code,Course Name,L,T,P,S,C,Faculty,Schedule
CSE,5,B2-abc010,Design Thinking and Innovation,3.0,1.0,0.0,0.0,4.0,Dr. Sandesh P,
CSE,5,B3-abc011,Automotive Embedded and Multimedia Systems,3.0,0.0,0.0,4.0,4.0,Mr. Jagadeesh K (Dr Sibasankar Padhy),Yes
CSE,5,B3-abc012,Microwave Engineering,3.0,1.0,0.0,0.0,4.0,Dr. Somen,
CSE,5,B3-CS462,Computer Graphics,3.0,1.0,0.0,0.0,4.0,Dr. Vivekraj V K,
CSE,5,B3-CS469,Virtualization and Cloud Computing,,,,,,Dr Malay,
CSE,5,B4-abc013,Data Analytics and Visualization,3.0,1.0,0.0,0.0,4.0,Dr. Sunil CK,Yes
CSE,5,B4-abc014,Statistics for Health Technology,3.0,1.0,0.0,0.0,4.0,Dr. Ramesh Athe,
CSE,5,B4-abc015,Medical Image Analysis,3.0,0.0,0.0,4.0,4.0,Dr. Girish GN,
CSE,5,B4-CS472,Bioinformatics,,,,,,Dr. Sunil Kumar PV,
CSE,5,CS399,Mini Project 1,0.0,0.0,0.0,8.0,2.0,Dr. Pramod Yelmewad and Animesh Roy,Yes
CSE,7,CS499,Major-Project,0.0,0.0,0.0,32.0,8.0,Dr. Pramod Yelmewad and Dr. Animesh Roy,Yes
DSAI,1,MA162,Probability ,3.0,1.0,0.0,0.0,2.0,Dr.Chinmmayananda,Yes
DSAI,1,EC161,Digital Design,3.0,0.0,2.0,0.0,3.0,Dr.Prakash Pawar,Yes
DSAI,1,CS161,Problem solving with Programming,2.0,1.0,0.0,2.0,3.0,Dr.Manjunath,Yes
DSAI,1,B1-PH151 / B1-DS151 / B1-HS157,Introduction to Quantum Physiscs /Linux for Engineers /Hindustani Music,3.0,1.0,0.0,0.0,0.0,Prof.RaviShankar / Dr.Vivekraj / Dr.Chandrika Kamat,Yes
DSAI,1,CS151,Introdution to CyS,3.0,1.0,0.0,0.0,0.0,Dr.Girish Revadigar,Yes
DSAI,3,MA262,Multivarte Calculus,3.0,1.0,0.0,0.0,2.0,Dr.Somen Bhattachjee,Yes
DSAI,3,DA262,Data Handling and Visualization,3.0,0.0,0.0,0.0,3.0,Dr. Navyashree,Yes
DSAI,3,CS304,AI,3.0,1.0,0.0,0.0,4.0,Dr. Manjunath KV,Yes
DSAI,3,CS307,ML,3.0,0.0,2.0,0.0,4.0,Dr. Animesh Chaturvedi,Yes
DSAI,5,DS309,Cloud Computing,3.0,0.0,0.0,4.0,4.0,Dr. Animesh Chaturvedi,Yes
DSAI,5,DS306,Financial Data Analytics,3.0,0.0,0.0,4.0,4.0,Dr. Utkarsh Khaire,Yes
DSAI,5,DS307,Innovation & Entrepreneurship,3.0,1.0,0.0,0.0,4.0,Mr. Ram Subramanian,Yes
DSAI,5,DS308,Data Security & Privacy,3.0,1.0,0.0,0.0,4.0,Dr. Abdul Wahid & Dr. Rajendra Hegadi,Yes
DSAI,5,DS399,Mini Project-I,0.0,0.0,0.0,8.0,2.0,Coordinator: Dr. Shirshendu,Yes
DSAI,5,HS101,Environmental Studies,,,,,,-,Yes
DSAI,5,B1-CS464,Deep Learning for Computer Vision,3.0,1.0,0.0,0.0,4.0,Dr. Chinmayanand,Yes
DSAI,5,B1-NEW,Large Language Models,3.0,0.0,0.0,4.0,4.0,Dr. Sunil S,
